ano,energetico_10^6ton,metalurgico_10^6ton,total_10^6ton,peat_10^6ton
1974,4.423,660,5.083,12
1975,11.348,746,12.094,12
1976,11.362,746,12.108,12
1977,19.786,1.105,20.891,12
1978,19.842,1.406,21.248,12
1979,21.290,1.483,22.773,51
1980,21.331,1.483,22.814,132
1981,21.331,1.483,22.814,152
1982,21.346,1.483,22.829,376
1983,21.403,1.483,22.886,487
1984,21.470,1.483,22.953,487
1985,25.600,5.393,30.993,487
1986,26.555,5.892,32.447,487
1987,26.555,5.873,32.428,487
1988,26.555,5.866,32.421,487
1989,26.543,5.850,32.393,487
1990,27.265,5.150,32.415,487
1991,27.260,5.150,32.410,487
1992,27.255,5.150,32.405,487
1993,27.251,5.150,32.401,487
1994,27.247,5.149,32.396,487
1995,27.242,5.149,32.391,487
1996,27.237,5.149,32.386,487
1997,27.231,5.149,32.380,487
1998,27.226,5.149,32.375,487
1999,27.221,5.149,32.370,487
2000,27.215,5.149,32.364,487
2001,27.209,5.149,32.358,487
2002,27.204,5.149,32.353,487
2003,27.199,5.149,32.348,487
2004,27.193,5.149,32.342,487
2005,27.187,5.149,32.336,487
2006,27.181,5.149,32.330,487
2007,27.175,5.149,32.324,487
2008,27.169,5.148,32.318,487
2009,27.164,5.148,32.312,487
2010,27.158,5.148,32.306,487
2011,27.153,5.148,32.301,487
2012,27.146,5.148,32.294,487
2013,27.137,5.148,32.285,487
2014,27.129,5.148,32.277,487
2015,27.123,5.148,32.271,487
2016,27.116,5.148,32.264,487
2017,27.111,5.148,32.259,487
2018,27.106,5.148,32.254,487
2019,27.101,5.148,32.249,487
2020,27.095,5.148,32.243,487
2021,27.089,5.148,32.237,487
2022,27.082,5.148,32.230,487
