ano,ton_u3o8
1973,6.292
1974,11.040
1975,11.041
1976,26.380
1977,66.800
1978,142.300
1979,215.300
1980,236.300
1981,266.300
1982,301.490
1983,301.490
1984,301.490
1985,301.490
1986,301.490
1987,301.490
1988,301.490
1989,301.490
1990,301.490
1991,301.490
1992,301.490
1993,301.490
1994,301.490
1995,301.490
1996,301.490
1997,309.196
1998,309.196
1999,309.196
2000,309.196
2001,309.196
2002,309.196
2003,309.370
2004,309.370
2005,309.370
2006,309.370
2007,309.370
2008,309.370
2009,309.370
2010,309.370
2011,309.370
2012,309.370
2013,309.370
2014,309.370
2015,309.370
2016,309.370
2017,309.370
2018,309.370
2019,309.370
2020,309.370
2021,309.370
2022,309.370
